name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,,,,PREDICTED AVERAGE TAKEDOWNS LANDED PER 15 MINUTES,UNIQUE HEIGHTS,UNIQUE WEIGHTS
Manny Vazquez,,11,2,0,177.8,56.7,182.88,Orthodox,11/19/1993,1.47,41,2.67,48,1,33,0,1,,,,0.95220213,,
Jeff Crotty,,1,1,0,,70.31,,,,0.93,35,3.33,54,5,38,0,1,,,,0.88586508,,
Sam Greco,,3,1,1,187.96,92.99,,Orthodox,5/3/1967,2.4,75,1.33,53,0,0,25,1,,,,1.065165005,,
Ricco Rodriguez,Suave,53,25,0,193.04,120.2,,Orthodox,8/19/1977,1.85,51,1.15,61,2.3,39,40,1,,,,0.997699764,,
Jay Hieron,The Thoroughbred,23,7,0,182.88,77.11,190.5,Orthodox,7/29/1976,1.66,32,1.89,61,4.05,60,66,1,,,,0.973857261,,
Sung Bin Jo,Korean Falcon,9,1,0,182.88,65.77,182.88,Orthodox,7/17/1992,1.4,33,2.67,51,1,33,83,1,,,,0.940717349,,
Art Arciniega,King Arthur,15,7,0,172.72,65.77,,,,1.53,46,2.73,51,0,0,50,1,,,,0.956745202,,
Isabela de Padua,Belinha,5,2,0,160.02,56.7,162.56,Orthodox,9/4/1991,1,35,2.07,50,2,66,0,1,,,,0.891681573,,
Lucas Fernando,,9,2,0,190.5,83.91,203.2,,,1.87,51,4.73,38,3,30,0,1,,,,0.99864797,,
Rafael Silva,Morcego,28,6,0,170.18,61.23,,,,0.67,50,0.73,67,0,0,25,1,,,,0.84970158,,
Hyder Amil,The Hurricane,8,0,0,175.26,65.77,177.8,Switch,5/28/1990,1.73,52,1.47,53,0,0,78,1,,,,0.98103263,,
Vaughan Lee,,14,13,1,167.64,56.7,167.64,Orthodox,10/15/1982,3.47,47,2.07,70,0.81,33,72,1,,,,1.196140016,,
Ryan Healy,The Irish Assassin,25,14,1,185.42,70.31,,Orthodox,7/20/1983,1.67,35,3,38,3,50,40,1,,,,0.974045691,,
Joao Zeferino,The Brazilian Samurai,21,9,0,180.34,77.11,,Orthodox,1/15/1986,0.83,36,2.6,48,0.5,5,50,1,,,,0.869559148,,
Virna Jandiroba,Carcara,19,3,0,160.02,52.16,162.56,Orthodox,5/30/1988,2.34,40,3.03,56,2.42,39,73,1,,,,1.056268086,,
Miles McDonald,,2,1,0,170.18,52.16,,,,5.1,45,4,43,0,0,100,1,,,,1.396837755,,
Korey Kuppe,,8,4,0,195.58,77.11,195.58,Switch,1/23/1989,0.73,73,1.33,31,0,0,69,1,,,,0.856938765,,
Patrick Murphy,,5,3,0,182.88,77.11,,,,3.4,66,0.8,42,0,0,50,1,,,,1.187631136,,
Nick Diaz,,26,10,0,185.42,77.11,193.04,Southpaw,8/2/1983,5.71,42,3.84,59,1.28,32,60,1,,,,1.473970401,,
Akitoshi Tamura,The Ironman,21,18,2,175.26,61.23,177.8,Orthodox,5/31/1980,3.73,43,1.94,78,0,0,20,1,,,,1.229015534,,
Eric Schambari,,15,6,0,180.34,83.91,,Orthodox,4/22/1978,1.43,42,1.07,54,3,42,0,1,,,,0.944496505,,
Markus Perez,Maluko,12,5,0,185.42,83.91,185.42,Orthodox,6/22/1988,2.6,47,3.72,52,0.81,25,77,1,,,,1.088896621,,
Greg Soto,,9,4,0,180.34,77.11,185.42,Orthodox,6/3/1986,3.21,63,2.61,52,1.49,27,44,1,,,,1.164662352,,
Mike French,,9,10,0,177.8,65.77,,,,0.23,23,2.17,42,0,0,22,1,,,,0.79487659,,
Karl Amoussou,The Psycho,27,7,2,180.34,83.91,,Orthodox,11/21/1985,1.47,34,2.67,54,0,0,25,1,,,,0.949056491,,
Luke Rockhold,,16,6,0,190.5,83.91,195.58,Southpaw,10/17/1984,4.1,49,2.68,53,0.7,29,65,1,,,,1.275173835,,
Brett Johns,The Pikey,17,2,0,170.18,61.23,180.34,Orthodox,2/21/1992,2.86,49,3.84,53,4.92,49,58,1,,,,1.121775956,,
Rogerio Bontorin,,16,4,0,165.1,56.7,170.18,Orthodox,4/25/1992,2.63,52,3.27,50,2.9,60,51,1,,,,1.092119813,,
Chris Mierzwiak,,5,3,0,185.42,83.91,,,,1.6,61,1.73,48,2,28,0,1,,,,0.964059387,,
Sergei Kharitonov,,26,6,0,182.88,111.13,,Orthodox,8/18/1980,3.9,44,3.03,54,1.16,53,70,1,,,,1.248585296,,
Emil Meek,Valhalla,9,5,1,180.34,77.11,187.96,Switch,8/20/1988,2.52,39,2.53,38,0.25,33,47,1,,,,1.077680752,,
Yoshihiro Akiyama,,14,6,0,177.8,77.11,190.5,Orthodox,7/29/1975,3.1,41,3.62,57,2.29,67,92,1,,,,1.149776341,,
Saul Elizondo,,6,8,0,170.18,61.23,,,,2.07,30,4.93,48,2,100,66,1,,,,1.021862572,,
Islam Makhachev,,25,1,0,177.8,70.31,177.8,Southpaw,10/27/1991,2.46,60,1.27,61,3.17,60,90,1,,,,1.069862712,,
Luis Henrique,KLB,10,5,0,187.96,110.22,187.96,Orthodox,8/21/1993,1.81,43,2.22,47,3.09,36,50,1,,,,0.98873354,,
Ben Nguyen,Ten,16,8,0,165.1,56.7,165.1,Switch,8/3/1988,3.51,40,3.01,59,0.25,33,63,1,,,,1.198746726,,
Marilia Santos,Chocolate,10,3,0,162.56,56.7,,Orthodox,12/12/1992,4.4,54,4.07,53,1,100,66,1,,,,1.309472642,,
James Hammortree,The Sledge,6,3,0,190.5,83.91,,Orthodox,11/29/1983,1.93,30,4.13,44,2,50,100,1,,,,1.003238796,,
Michael Chiesa,Maverick,18,7,0,185.42,77.11,190.5,Southpaw,12/7/1987,1.87,40,1.7,54,3.33,50,60,1,,,,0.995477197,,
Cole Province,,6,2,0,175.26,65.77,172.72,Orthodox,1/17/1981,1.47,44,2.72,43,2.4,50,83,1,,,,0.945053659,,
Ivan Menjivar,The Pride of El Salvador,25,12,0,167.64,65.77,162.56,Orthodox,5/30/1982,2.78,37,2.76,65,0.56,28,38,1,,,,1.107325766,,
Joe Duarte,,10,4,0,,70.31,,,,2.27,38,4,53,3,50,69,1,,,,1.044106081,,
Chris de la Rocha,,5,3,0,190.5,113.4,203.2,Orthodox,5/15/1979,4.08,45,6.37,43,2.02,30,33,1,,,,1.26852345,,
Justin Edwards,Fast Eddy,9,5,0,177.8,70.31,177.8,Orthodox,1/26/1983,2.68,42,3.32,51,2.14,26,27,1,,,,1.094240083,,
DeAnna Bennett,The Argentine Assassin,8,3,1,162.56,56.7,172.72,Orthodox,11/18/1984,3.13,58,3.27,58,0,0,0,1,,,,1.149818537,,
Mu Bae Choi,,12,6,0,187.96,104.33,,Orthodox,6/27/1970,1.55,49,3.65,44,3.12,75,60,1,,,,0.953859013,,
Connor Matthews,The Controller,7,1,0,172.72,65.77,180.34,Switch,5/31/1992,5.13,44,5.57,55,3.5,58,50,1,,,,1.398441161,,
Chalid Arrab,Die Faust,7,3,0,180.34,92.99,,Orthodox,5/28/1975,1.56,34,1.63,56,3.05,75,37,1,,,,0.954047087,,
Lemont Davis,,2,6,0,172.72,77.11,,Orthodox,,0.87,54,1.27,55,1,50,0,1,,,,0.867648482,,
Gilbert Yvel,The Hurricane,39,16,1,187.96,102.06,195.58,Orthodox,6/30/1976,1.05,47,1.78,50,0,0,25,1,,,,0.889933983,,
Vitor Petrino,,10,0,0,187.96,92.99,195.58,Orthodox,8/28/1997,3.07,48,2.65,43,4.15,70,68,1,,,,1.140940139,,
Richie Vaculik,Vas,10,4,0,167.64,56.7,175.26,Orthodox,6/19/1983,3.69,46,4.09,57,3,45,31,1,,,,1.216799838,,
Demian Maia,,28,11,0,185.42,77.11,182.88,Southpaw,11/6/1977,1.8,43,2.07,63,2.49,24,61,1,,,,0.982115306,,
Phil Caracappa,The Hitman,6,1,0,172.72,61.23,177.8,Orthodox,6/5/1992,2.93,50,4.07,29,1,8,100,1,,,,1.121575472,,
Denis Stojnic,,13,3,0,182.88,111.13,,Orthodox,2/2/1980,1.51,23,6.06,36,0,0,80,1,,,,0.945733645,,
Mike Rio,The Wolverine,10,5,0,177.8,70.31,177.8,Orthodox,7/6/1981,1.68,39,2.99,53,2.58,27,0,1,,,,0.967120748,,
Cameron Olson,Cap'n Crunch,7,3,0,185.42,92.99,190.5,Orthodox,11/22/1989,3.13,47,2.2,57,3,42,100,1,,,,1.146201622,,
Dwight Joseph,,5,0,0,167.64,61.23,,Switch,8/16/1989,2.6,52,2.87,55,1,20,20,1,,,,1.079972569,,
Alex Chambers,Astro Girl,5,5,0,160.02,52.16,160.02,Southpaw,10/25/1978,2.97,54,5.1,50,2.31,41,53,1,,,,1.125801814,,
Magnus Cedenblad,Jycken,14,5,0,195.58,83.91,200.66,Orthodox,4/10/1982,2.38,51,3.02,40,2.87,64,66,1,,,,1.052407815,,
Danny Sabatello,Italian Gangster,9,1,0,177.8,61.23,180.34,Orthodox,3/31/1993,2.07,57,0.2,25,3,75,100,1,,,,1.013493473,,
Jon Tuck,Super Saiyan,10,5,0,180.34,70.31,185.42,Orthodox,8/28/1984,3,40,3.74,60,0.42,33,50,1,,,,1.128023685,,
Stephan Bonnar,The American Psycho,15,9,0,193.04,92.99,200.66,Orthodox,4/4/1977,2.76,38,3.01,52,1.32,40,60,1,,,,1.098529784,,
Ilima Macfarlane,,6,0,0,162.56,56.7,,,,4.13,43,2.93,65,0,0,50,1,,,,1.268118244,,
Eric Spicely,Zebrinha,12,6,0,185.42,83.91,185.42,Orthodox,9/29/1986,3.71,45,5.72,55,1.31,20,75,1,,,,1.216674204,,
Chase Gormley,,14,6,0,190.5,120.2,,Orthodox,,3.6,42,6.03,44,3.12,42,0,1,,,,1.202998514,,
Paige VanZant,12 Gauge,8,5,0,162.56,52.16,165.1,Orthodox,3/26/1994,3.35,52,2.62,42,1.27,33,34,1,,,,1.171289062,,
Bruno Assis,Brunao,8,4,0,187.96,83.91,,Orthodox,5/23/1992,1.27,43,3.2,36,2,50,66,1,,,,0.913713576,,
Alexandre Pantoja,The Cannibal,26,5,0,165.1,56.7,170.18,Orthodox,4/16/1990,4.41,48,3.81,51,1.75,44,66,1,,,,1.302344851,,
Krzysztof Soszynski,The Polish Experiment,26,12,1,185.42,92.99,195.58,Open Stance,8/2/1977,3.37,39,3.13,58,0.52,25,71,1,,,,1.173292411,,
Leonardo Guimaraes,Leleco,11,5,0,182.88,83.91,,Orthodox,4/15/1982,2.35,56,2.99,44,0,0,52,1,,,,1.047164075,,
Terrance McKinney,T. Wrecks,15,6,0,177.8,70.31,185.42,Switch,9/15/1994,4.46,52,2.51,44,3.52,36,85,1,,,,1.30886658,,
Jordan Parsons,Pretty Boy,11,2,0,175.26,65.77,,,,3.29,40,2.37,60,1.54,21,50,1,,,,1.163000517,,
Rodney Wallace,Shonuff the Master,26,15,1,175.26,92.99,182.88,Switch,11/21/1981,1.13,46,3.44,45,6,54,28,1,,,,0.895997927,,
Brad Imes,Hillbilly Heartthrob,13,7,0,200.66,120.2,,Orthodox,3/13/1977,2.73,31,4.24,49,1.72,71,0,1,,,,1.092268245,,
David Heath,,18,7,0,180.34,92.99,182.88,Orthodox,2/10/1976,1.48,30,5.16,49,0.33,50,57,1,,,,0.937074527,,
Alexandr Romanov,King Kong,17,2,0,187.96,118.84,190.5,Southpaw,12/11/1990,4.06,52,2.2,50,4.32,54,20,0.9,,,,1.257113856,,
Allan Nascimento,Puro Osso,20,6,0,172.72,56.7,175.26,Orthodox,9/11/1991,3.21,61,2.28,50,1.55,26,16,0.9,,,,1.150560458,,
Eliot Marshall,Fire,10,4,0,187.96,92.99,195.58,Orthodox,7/7/1980,1.93,27,2.39,67,0.47,33,79,0.9,,,,0.992217409,,
Warlley Alves,,15,7,0,180.34,83.91,182.88,Orthodox,1/4/1991,3.25,48,4.21,50,1.35,50,80,0.9,,,,1.155510595,,
Chris Horodecki,The Polish Hammer,21,7,1,175.26,70.31,175.26,Orthodox,9/24/1987,4.59,41,3.16,65,1.52,55,37,0.9,,,,1.321025722,,
AJ Fletcher,The Ghost,10,3,0,177.8,77.11,170.18,Switch,2/18/1997,3.36,49,4.61,46,1.54,35,33,0.9,,,,1.168948391,,
Tyson Pedro,,10,4,0,190.5,92.99,200.66,Orthodox,9/17/1991,3.11,61,2.53,54,0.94,36,52,0.9,,,,1.137935388,,
Lerone Murphy,The Miracle,13,0,1,175.26,65.77,185.42,Orthodox,7/22/1991,3.65,50,2.4,56,1.29,46,46,0.9,,,,1.204705199,,
Tagir Ulanbekov,,14,2,0,170.18,56.7,177.8,Southpaw,8/7/1991,3.35,44,3.29,54,3.81,42,61,0.9,,,,1.167615264,,
Aisling Daly,Ais the Bash,16,6,0,157.48,52.16,162.56,Orthodox,12/24/1987,2.92,52,1.4,55,2.15,41,33,0.9,,,,1.113622041,,
JeongYeong Lee,Korean Tiger,10,1,0,177.8,65.77,185.42,Orthodox,11/13/1995,2.39,47,1.84,55,0,0,73,0.9,,,,1.047932174,,
Seth Dikun,,9,8,0,177.8,61.23,175.26,Orthodox,8/5/1980,1.45,26,2.18,55,0,0,45,0.9,,,,0.932333961,,
Ben Askren,Funky,19,2,0,180.34,77.11,185.42,Orthodox,7/18/1984,3.64,49,5.66,36,4.33,55,0,0.9,,,,1.202601351,,
Beneil Dariush,,22,6,1,177.8,70.31,182.88,Southpaw,5/6/1989,3.78,48,2.65,57,1.9,34,80,0.9,,,,1.218561734,,
Luiz Firmino,Buscape,19,8,0,167.64,69.85,,Orthodox,3/18/1982,1.23,50,1.22,51,3.86,45,20,0.9,,,,0.904797028,,
Gillian Robertson,The Savage,12,8,0,165.1,52.16,160.02,Orthodox,5/17/1995,2.6,45,3.21,55,2.46,41,43,0.9,,,,1.072353269,,
Pete Williams,El Duro,12,6,0,190.5,106.59,,Orthodox,7/10/1975,0.61,62,2.77,40,1.84,40,16,0.9,,,,0.826835708,,
Rameau Thierry Sokoudjou,The African Assassin,18,18,0,177.8,92.99,198.12,Orthodox,4/18/1984,2.26,45,2.61,56,1.93,47,78,0.9,,,,1.029722438,,
John Hathaway,The Hitman,17,2,0,185.42,77.11,190.5,Orthodox,7/23/1987,3.4,40,1.8,62,2.61,43,60,0.9,,,,1.170010593,,
Cristiano Marcello,,13,6,0,175.26,70.31,182.88,Orthodox,12/3/1977,2.56,33,3.61,58,0.44,11,20,0.9,,,,1.065987838,,
Antoni Hardonk,,8,6,0,193.04,111.13,198.12,Orthodox,2/5/1976,3.4,61,3.07,46,0,0,40,0.9,,,,1.169676884,,
Matt Serra,The Terra,11,7,0,167.64,77.11,172.72,Orthodox,6/2/1974,1.98,39,2.64,46,2.05,20,38,0.9,,,,0.995036455,,
Michael Chandler,Iron,23,8,0,172.72,70.31,180.34,Orthodox,4/24/1986,4.89,46,4.58,46,2.17,38,71,0.9,,,,1.353568608,,
Eric Wisely,Little Lee,26,9,1,172.72,65.77,,Southpaw,7/25/1984,1.42,47,2.08,56,0,0,27,0.9,,,,0.925531082,,
Pascal Krauss,Panzer,11,2,0,185.42,77.11,,Orthodox,4/19/1987,5.45,47,3.88,59,1.53,50,60,0.9,,,,1.422051862,,
Alan Belcher,The Talent,18,8,0,187.96,83.91,190.5,Orthodox,4/24/1984,2.7,41,3.1,59,0.44,26,55,0.9,,,,1.083434142,,
Tyson Griffin,,16,8,0,167.64,65.77,172.72,Orthodox,4/20/1984,3.71,41,2.3,65,1.87,46,59,0.9,,,,1.207973117,,
Sam Sicilia,,15,8,0,172.72,65.77,170.18,Orthodox,2/1/1986,2.46,33,3.55,59,1.45,43,70,0.9,,,,1.053884162,,
Ryan Gracie,,5,2,0,175.26,90.72,,Orthodox,8/14/1974,0.82,61,0.5,40,2.83,75,25,0.9,,,,0.851960964,,
Damacio Page,The Angel of Death,19,10,0,167.64,61.23,167.64,Orthodox,9/30/1982,2.05,38,2.47,51,2.63,64,23,0.9,,,,1.002622617,,
Aleksander Emelianenko,,23,7,0,198.12,115.67,,Orthodox,8/2/1981,2.75,41,1.7,65,2.32,72,66,0.9,,,,1.088429456,,
Samy Schiavo,,10,6,0,172.72,70.31,,Orthodox,12/24/1975,1.68,34,2.62,38,0.94,50,66,0.9,,,,0.956125931,,
Brodie Farber,,16,7,0,185.42,77.11,,Orthodox,7/5/1980,1.69,45,2.17,53,0.9,50,20,0.9,,,,0.957364384,,
Pete Sell,Drago,10,7,0,180.34,77.11,190.5,Orthodox,8/5/1982,2.6,42,3.65,51,0.91,21,47,0.9,,,,1.069573764,,
Jason Witt,The Vanilla Gorilla,19,9,0,177.8,77.11,177.8,Orthodox,11/7/1986,2.15,44,2.54,52,6.9,48,100,0.9,,,,1.014143642,,
Garett Whiteley,Goodnight,7,3,0,182.88,70.31,182.88,Orthodox,12/13/1980,3.72,48,4.04,46,0,0,27,0.9,,,,1.206056261,,
Maciej Jewtuszko,Irokez,12,3,0,182.88,70.31,,Southpaw,1/31/1981,2.29,45,1.39,66,0,0,42,0.9,,,,1.029939235,,
Cyril Asker,Silverback,9,4,0,182.88,112.04,187.96,Orthodox,12/24/1985,3.35,39,5.82,35,4.41,62,100,0.9,,,,1.161167148,,
Jumabieke Tuerxun,The Wild Wolf,19,4,1,170.18,61.23,,Orthodox,4/17/1986,1.6,28,3.08,59,0.47,11,66,0.9,,,,0.944217422,,
Roosevelt Roberts,The Predator,12,5,0,187.96,70.31,185.42,Orthodox,2/11/1994,3.05,44,3.12,52,1.39,29,52,0.9,,,,1.123126848,,
Maurice Smith,,12,14,0,187.96,100.24,,Orthodox,12/13/1961,0.41,46,0.47,60,0.89,50,20,0.9,,,,0.797635828,,
Bryan Baker,The Beast,18,5,0,190.5,83.91,,Orthodox,10/13/1985,1.78,52,2.83,45,0.44,50,37,0.9,,,,0.966463129,,
Glover Teixeira,,33,9,0,187.96,92.99,193.04,Orthodox,10/28/1979,3.73,49,4.43,51,2.11,33,60,0.9,,,,1.206972797,,
Matheus Nicolau,,19,4,1,167.64,56.7,167.64,Orthodox,1/6/1993,3.66,53,3.14,66,1.48,45,93,0.9,,,,1.197970787,,
James Krause,The,28,9,0,187.96,77.11,185.42,Orthodox,6/4/1986,4.79,49,4.11,61,0.96,18,59,0.9,,,,1.337007307,,
Roger Narvaez,Silverback,8,3,0,190.5,83.91,,Southpaw,9/9/1983,2.12,37,3.32,64,0,0,50,0.9,,,,1.008310711,,
Umar Nurmagomedov,,16,0,0,172.72,61.23,175.26,Orthodox,1/3/1996,4.85,70,0.73,75,4.28,45,100,0.9,,,,1.344914539,,
Irina Alekseeva,Russian Ronda,5,2,0,172.72,61.23,170.18,Orthodox,6/27/1990,3.84,43,3.55,48,0.87,20,100,0.9,,,,1.218915066,,
Chris Spang,The Kiss,6,3,0,187.96,77.11,,Orthodox,11/26/1987,1.83,36,1.95,60,0,0,50,0.9,,,,0.972388334,,
Tony Ferguson,El Cucuy,26,9,0,180.34,70.31,193.04,Orthodox,2/12/1984,4.98,45,4.26,56,0.42,35,66,0.9,,,,1.359172694,,
Carmelo Marrero,The Fury,16,6,0,182.88,92.99,185.42,Orthodox,1/26/1981,0.84,34,2.04,54,3.21,36,36,0.9,,,,0.851277265,,
Roger Bowling,Relentless,12,6,0,175.26,70.31,172.72,Orthodox,12/5/1982,3.9,47,3.86,51,3.09,43,27,0.9,,,,1.226858087,,
Ildemar Alcantara,Marajo,21,11,0,187.96,83.91,198.12,Orthodox,11/18/1982,1.93,38,2.63,50,2,68,81,0.9,,,,0.983850707,,
Chase Beebe,,24,13,1,170.18,61.23,170.18,Orthodox,3/29/1985,2.17,38,1.64,69,2.49,42,41,0.9,,,,1.013030386,,
Ricardo Lamas,The Bully,20,8,0,172.72,65.77,180.34,Orthodox,5/21/1982,3.13,47,2.87,57,1.84,33,46,0.9,,,,1.130636204,,
Marlon Vera,Chito,21,8,1,172.72,61.23,177.8,Switch,12/2/1992,4.37,50,5.16,51,0.58,39,70,0.9,,,,1.282856162,,
Alex Karalexis,The Assassin,10,6,0,172.72,70.31,167.64,Orthodox,9/20/1977,2.57,42,2.39,54,2.7,45,86,0.9,,,,1.061769576,,
Curt Warburton,,13,6,0,182.88,70.31,185.42,Orthodox,,2.13,42,3.44,43,2.35,50,83,0.9,,,,1.007129325,,
Matt Frevola,The SteamRolla,11,4,1,175.26,70.31,180.34,Orthodox,6/11/1990,3.71,42,3.57,59,2.59,40,42,0.9,,,,1.20114275,,
Blake Bilder,El Animal,8,1,1,172.72,65.77,172.72,Switch,7/12/1990,4.96,50,4.54,56,0.45,10,100,0.9,,,,1.354232214,,
Tonya Evinger,Triple Threat,19,8,0,170.18,61.23,177.8,Orthodox,6/4/1981,1.16,42,4.02,38,0.93,30,33,0.9,,,,0.887143682,,
Mike Wilkinson,The Warrior,9,4,0,170.18,65.77,167.64,Orthodox,9/15/1987,2.35,38,3.7,35,0.92,14,55,0.9,,,,1.033614671,,
Diego Rivas,Pitbull,10,2,0,172.72,65.77,175.26,Orthodox,11/11/1991,1.37,40,2.14,52,1.79,60,64,0.9,,,,0.913012396,,
Mark Hominick,The Machine,20,12,0,172.72,65.77,172.72,Orthodox,7/22/1982,4.08,42,4.18,69,0.25,66,71,0.9,,,,1.246447705,,
Rick Story,The Horror,19,9,0,175.26,77.11,180.34,Southpaw,8/28/1984,3.8,41,2.17,62,2.53,48,63,0.9,,,,1.212423635,,
Garreth McLellan,Soldier Boy,13,6,0,185.42,83.91,182.88,Southpaw,9/1/1982,3.56,54,2.94,45,1.15,22,34,0.9,,,,1.182290691,,
Dave Jansen,,20,4,0,175.26,70.31,185.42,Orthodox,8/21/1979,2.94,33,3.67,58,2.79,28,38,0.9,,,,1.105946968,,
Mariya Agapova,Demonslayer,10,4,0,167.64,56.7,172.72,Southpaw,4/7/1997,4.67,55,3.82,52,0.59,66,47,0.9,,,,1.318355035,,
Alex Huddleston,The Shaved Gorilla,6,2,0,200.66,115.21,,,,2.47,42,2.59,67,0,0,0,0.9,,,,1.047770716,,
Tim Hague,The Trashing Machine,21,13,0,193.04,117.93,193.04,Orthodox,5/9/1983,2.79,47,4.14,46,1.72,33,85,0.9,,,,1.08752239,,
Masanori Kanehara,,26,12,5,170.18,61.23,170.18,Orthodox,11/19/1982,1.88,49,1.63,62,1.44,50,63,0.9,,,,0.975212476,,
Tatiana Suarez,,11,0,0,165.1,52.16,167.64,Southpaw,12/19/1990,4.27,63,1.38,51,6.2,61,100,0.9,,,,1.269541633,,
Luigi Fioravanti,,26,15,0,172.72,77.11,177.8,Orthodox,1/22/1981,2.23,42,2.21,69,3.76,63,67,0.9,,,,1.016787995,,
Carlos Newton,The Ronin,16,14,0,175.26,77.11,,Orthodox,8/17/1976,0.65,41,1.55,44,2.47,70,43,0.9,,,,0.822181958,,
Danilo Marques,,11,4,0,198.12,92.99,195.58,Orthodox,12/26/1985,1.44,79,2.52,52,3.93,28,0,0.8,,,,0.918343711,,
Renzo Gracie,,13,7,1,177.8,83.91,,Orthodox,3/11/1967,1.71,41,1.67,55,1.13,20,40,0.8,,,,0.95042477,,
Stephanie Egger,,8,4,0,167.64,61.23,172.72,Orthodox,8/12/1988,1.93,53,2.08,53,3.04,40,50,0.8,,,,0.977433037,,
Austin Springer,,12,4,0,172.72,65.77,180.34,Orthodox,5/12/1987,3.54,57,3.15,41,3.37,40,100,0.8,,,,1.174980553,,
Iuri Alcantara,Marajo,35,10,0,175.26,61.23,180.34,Southpaw,8/4/1980,2.72,45,2.79,49,1.44,62,60,0.8,,,,1.073294547,,
Da'Mon Blackshear,The Monster,14,6,1,177.8,61.23,182.88,Switch,8/12/1994,4.28,47,4.09,48,2.34,37,66,0.8,,,,1.264972332,,
Spencer Fisher,The King,24,9,0,170.18,70.31,172.72,Southpaw,5/9/1976,3.17,43,3.03,64,0.67,30,60,0.8,,,,1.128069582,,
Kurt Pellegrino,Batman,16,7,0,172.72,70.31,177.8,Orthodox,5/7/1979,2.45,43,1.94,63,2.9,54,69,0.8,,,,1.039790963,,
Trey Ogden,Samurai Ghost,16,6,0,180.34,70.31,182.88,Orthodox,11/14/1989,3.64,47,4.02,58,1.29,16,100,0.8,,,,1.185379723,,
Anderson Silva,The Spider,34,11,0,187.96,83.91,195.58,Southpaw,4/14/1975,3.05,61,2.05,60,0.5,77,69,0.8,,,,1.112873133,,
Carlston Harris,Mocambique,19,5,0,182.88,77.11,193.04,Orthodox,7/9/1987,2.93,49,2.44,53,2.05,29,55,0.8,,,,1.09833796,,
Jorge Santiago,The Sandman,25,12,0,185.42,77.11,190.5,Orthodox,10/9/1980,1.69,35,2.62,56,0.58,30,52,0.8,,,,0.945738065,,
Gleison Tibau,,33,14,0,177.8,70.31,180.34,Southpaw,10/7/1983,1.95,31,2.51,63,4.08,53,92,0.8,,,,0.977792208,,
Josh Shockley,,11,4,0,185.42,70.31,,Orthodox,11/15/1989,1.4,33,1.75,60,0,0,61,0.8,,,,0.909183698,,
Mark Coleman,The Hammer,16,10,0,185.42,92.99,190.5,Orthodox,12/20/1964,1.88,52,2.62,40,3.89,40,50,0.8,,,,0.968493785,,
Sarah Moras,Cheesecake,6,8,0,170.18,61.23,170.18,Orthodox,4/30/1988,2.28,34,3.58,50,0.67,21,33,0.8,,,,1.01670145,,
Jimmy Ambriz,The Titan,17,21,1,187.96,142.88,,Southpaw,1/26/1970,0.83,29,3.76,40,3.13,57,100,0.8,,,,0.838543818,,
Chris Cariaso,Kamikaze,17,8,0,160.02,56.7,162.56,Southpaw,5/27/1981,3.35,43,2.23,61,1.11,39,57,0.8,,,,1.14787863,,
Rogerio Nogueira,Minotouro,23,10,0,187.96,92.99,190.5,Southpaw,6/2/1976,2.43,35,2.34,59,0.64,44,62,0.8,,,,1.034548695,,
Russell Doane,,15,8,0,170.18,61.23,177.8,Orthodox,8/13/1986,1.75,40,1.68,53,2.11,45,52,0.8,,,,0.950895656,,
Rony Jason,,14,7,0,170.18,65.77,185.42,Orthodox,3/21/1984,2.04,44,3.14,53,0.59,30,36,0.8,,,,0.986240882,,
Maki Pitolo,Coconut Bombz,13,9,0,177.8,83.91,190.5,Orthodox,11/24/1990,4.1,44,3.93,55,2.24,52,50,0.8,,,,1.24025134,,
Joanderson Brito,Tubarao,16,3,1,172.72,65.77,182.88,Orthodox,2/11/1995,3.32,51,2.62,47,3.4,75,50,0.8,,,,1.143707304,,
Zhang Lipeng,The Warrior,23,9,1,180.34,70.31,180.34,Southpaw,3/10/1990,1.28,48,1.88,53,1.75,30,69,0.8,,,,0.891982211,,
Francisco Prado,,12,1,0,177.8,70.31,175.26,Orthodox,6/16/2002,3.46,50,3.83,46,0,0,25,0.8,,,,1.159903154,,
Amanda Lemos,,13,3,1,162.56,52.16,165.1,Southpaw,5/22/1987,3.54,55,4.66,42,0.82,55,55,0.8,,,,1.170200749,,
Jamie Varner,,21,11,1,172.72,70.31,180.34,Orthodox,10/12/1984,2.92,34,2.55,58,3.49,53,66,0.8,,,,1.093975448,,
Seth Baczynski,The Polish Pistola,20,14,0,190.5,77.11,190.5,Orthodox,10/26/1981,3.08,31,3.14,51,0.89,16,48,0.8,,,,1.112882627,,
Jonathan Pearce,JSP,14,5,0,182.88,65.77,180.34,Switch,5/1/1992,5.6,56,3.35,55,5.29,53,56,0.8,,,,1.423163979,,
Kenny Robertson,,15,5,0,177.8,77.11,187.96,Orthodox,2/14/1984,3.72,47,3.02,52,1.37,26,57,0.8,,,,1.189438685,,
Montserrat Conejo Ruiz,,10,4,0,152.4,52.16,154.94,Southpaw,2/3/1993,0.79,27,4.96,37,2.05,83,33,0.8,,,,0.831227337,,
